"País","Pontuação Ciências - Geral","Pontuação Ciências - Nível Socioeconômico Alto *","Pontuação Ciências - Nível Socioeconômico Baixo *","Pontuação Ciências - Diferença"
"Albânia","416.73","457.95","405.07","52.88"
"Alemanha","502.99","555.17","454.09","101.08"
"Arábia Saudita","386.25","422.27","364.16","58.11"
"Argentina","404.07","467.21","376.3","90.91"
"Austrália","502.96","530","449.33","80.67"
"Áustria","489.78","529.29","437.23","92.06"
"Baku (Azerbaijão)","397.65","421.72","386.94","34.78"
"Bélgica","498.77","544.27","438.72","105.55"
"Bielorrúsia","471.26","511.95","427.23","84.72"
"Bósnia e Herzegovina","398.5","432.7","382.91","49.79"
"Brasil","403.62","483.3","380.67","102.63"
"Brunei Darussalam","430.98","481.98","393.1","88.88"
"Bulgária","424.07","472.8","381.14","91.66"
"Canadá","518","537.95","474.75","63.2"
"Cazaquistão","397.1","416.38","384.2","32.18"
"Chile","443.58","495.72","419.54","76.18"
"China (B-S-J-Z)","590.45","634.38","570.65","63.73"
"Cingapura","550.94","584.46","494.35","90.11"
"Colômbia","413.32","469.99","396.12","73.87"
"Coreia","519.01","546.49","478.26","68.23"
"Costa Rica","415.62","466.93","392.49","74.44"
"Croácia","472.36","512.57","447.37","65.2"
"Dinamarca","492.64","512.52","427.11","85.41"
"Emirados Árabes Unidos","433.64","468.22","372.54","95.68"
"Eslováquia","464.05","510.56","416.96","93.6"
"Eslovênia","507.01","540.87","467.97","72.9"
"Espanha","483.25","514.74","451.64","63.1"
"Estados Unidos","502.38","535.9","457.24","78.66"
"Estônia","530.11","557.56","502.8","54.76"
"Filipinas","356.93","434.42","342.95","91.47"
"Finlândia","521.88","548.26","470.09","78.17"
"França","492.98","539.38","438.37","101.01"
"Geórgia","382.66","419.41","357.76","61.65"
"Grécia","451.63","484.68","418.59","66.09"
"Hong Kong","516.69","548.88","501.35","47.53"
"Hungria","480.91","529.09","429.62","99.47"
"Indonésia","396.07","453.34","387.36","65.98"
"Irlanda","496.11","522.83","452.51","70.32"
"Islândia","475.02","494.31","416.48","77.83"
"Israel","462.2","501.85","394.23","107.62"
"Itália","468.01","498","437.65","60.35"
"Japão","529.14","558.36","491.16","67.2"
"Jordânia","429.25","464.79","408.87","55.92"
"Kosovo","364.88","391.41","355.04","36.37"
"Letônia","487.25","515.19","456.53","58.66"
"Líbano","383.72","434.65","354.59","80.06"
"Lituânia","482.07","513.94","438.59","75.35"
"Luxemburgo","476.77","523.78","422.99","100.79"
"Macao","543.59","562.94","535.92","27.02"
"Malásia","437.62","494.47","415.53","78.94"
"Malta","456.59","491.4","411.18","80.22"
"Marrocos","376.6","427.15","368.18","58.97"
"México","419.2","469.78","403.31","66.47"
"Moldova","428.49","484.17","400.36","83.81"
"Montenegro","415.17","440.48","394.24","46.24"
"Noruega","490.41","511.58","420","91.58"
"Nova Zelândia","508.49","543.9","456.02","87.88"
"OCDE","488.66","0","0","0"
"Países Baixos","503.38","535.32","444.34","90.98"
"Panamá","364.62","427.57","342.18","85.39"
"Peru","404.22","471.42","382.54","88.88"
"Polônia","511.04","553.19","474.83","78.36"
"Portugal","491.68","539.14","456.65","82.49"
"Qatar","419.13","447.34","367.33","80.01"
"Região Centro Oeste","415.31","496.51","385.97","110.54"
"Região Nordeste","382.61","474.35","366.38","107.97"
"Região Norte","384.47","445.14","366.95","78.19"
"Região Sudeste","413.6","482.9","390.65","92.25"
"Região Sul","419.22","499.17","391.69","107.48"
"Reino Unido","504.67","534.75","459.85","74.9"
"República Checa","496.79","547.45","450.57","96.88"
"República da Macedônia","413.04","458.27","386.31","71.96"
"República Dominicana","335.63","390.93","322.29","68.64"
"Romênia","425.76","478.29","394.67","83.62"
"Rússia","477.72","500.91","433.01","67.9"
"Sérvia","439.87","478.42","414.24","64.18"
"Suécia","499.44","526.77","438.39","88.38"
"Suíça","495.28","534.93","441.69","93.24"
"Tailândia","425.81","497.66","408.88","88.78"
"Taipe Chinesa (Taiwan)","515.75","560.48","481.03","79.45"
"Turquia","468.3","531.48","451.05","80.43"
"Ucrânia","468.99","508.93","430.67","78.26"
"Uruguai","425.81","486.07","402.41","83.66"