"País","Pontuação Ciências - Geral","Pontuação Ciências - Feminino","Pontuação Ciências - Masculino","Pontuação Ciências - Diferença"
"Albânia","416.73","425.06","408.73","16.33"
"Alemanha","502.99","503.57","502.49","1.08"
"Arábia Saudita","386.25","401.09","372.31","28.78"
"Argentina","404.07","399.23","409.05","-9.82"
"Austrália","502.96","502.17","503.73","-1.56"
"Áustria","489.78","488.63","490.9","-2.27"
"Baku (Azerbaijão)","397.65","400.33","395.24","5.09"
"Bélgica","498.77","496.37","501.19","-4.82"
"Bielorrúsia","471.26","469.74","472.67","-2.93"
"Bósnia e Herzegovina","398.5","398.8","398.21","0.59"
"Brasil","403.62","404.39","402.85","1.54"
"Brunei Darussalam","430.98","434.55","427.48","7.07"
"Bulgária","424.07","432.17","416.92","15.25"
"Canadá","518","519.56","516.46","3.1"
"Cazaquistão","397.1","400.9","393.52","7.38"
"Chile","443.58","441.81","445.31","-3.5"
"China (B-S-J-Z)","590.45","584.15","596.21","-12.06"
"Cingapura","550.94","549.15","552.66","-3.51"
"Colômbia","413.32","407.29","419.61","-12.32"
"Coreia","519.01","516.89","520.93","-4.04"
"Costa Rica","415.62","410.98","420.38","-9.4"
"Croácia","472.36","474.32","470.38","3.94"
"Dinamarca","492.64","493.71","491.57","2.14"
"Emirados Árabes Unidos","433.64","446.52","420.4","26.12"
"Eslováquia","464.05","466.84","461.22","5.62"
"Eslovênia","507.01","512","502.25","9.75"
"Espanha","483.25","482.03","484.44","-2.41"
"Estados Unidos","502.38","502","502.74","-0.74"
"Estônia","530.11","532.59","527.63","4.96"
"Filipinas","356.93","358.51","355.15","3.36"
"Finlândia","521.88","534.04","510.18","23.86"
"França","492.98","493.46","492.51","0.95"
"Geórgia","382.66","390.02","375.92","14.1"
"Grécia","451.63","457.36","446.07","11.29"
"Hong Kong","516.69","521.25","512.36","8.89"
"Hungria","480.91","477.88","484","-6.12"
"Indonésia","396.07","399.48","392.55","6.93"
"Irlanda","496.11","496.85","495.37","1.48"
"Islândia","475.02","479.23","470.77","8.46"
"Israel","462.2","471.33","452.04","19.29"
"Itália","468.01","466.33","469.58","-3.25"
"Japão","529.14","527.78","530.56","-2.78"
"Jordânia","429.25","443.66","414.32","29.34"
"Kosovo","364.88","367.68","362.09","5.59"
"Letônia","487.25","491.38","482.99","8.39"
"Líbano","383.72","385.85","381.23","4.62"
"Lituânia","482.07","485.18","479.09","6.09"
"Luxemburgo","476.77","479.09","474.51","4.58"
"Macao","543.59","544.52","542.67","1.85"
"Malásia","437.62","440.7","434.37","6.33"
"Malta","456.59","467.53","446.56","20.97"
"Marrocos","376.6","381.31","372.3","9.01"
"México","419.2","414.7","424.09","-9.39"
"Moldova","428.49","434.1","423.17","10.93"
"Montenegro","415.17","417.52","413.02","4.5"
"Noruega","490.41","495.8","485.15","10.65"
"Nova Zelândia","508.49","507.65","509.32","-1.67"
"OCDE","488.66","0","0","0"
"Países Baixos","503.38","507.51","499.28","8.23"
"Panamá","364.62","364.41","364.84","-0.43"
"Peru","404.22","397.44","410.72","-13.28"
"Polônia","511.04","511.17","510.9","0.27"
"Portugal","491.68","489.1","494.18","-5.08"
"Qatar","419.13","439.05","399.77","39.28"
"Região Centro Oeste","415.31","416.02","414.6","1.42"
"Região Nordeste","382.61","383.3","381.93","1.37"
"Região Norte","384.47","381.62","387.35","-5.73"
"Região Sudeste","413.6","414.75","412.44","2.31"
"Região Sul","419.22","420.45","417.96","2.49"
"Reino Unido","504.67","503.47","505.93","-2.46"
"República Checa","496.79","497.62","495.99","1.63"
"República da Macedônia","413.04","422.96","404.08","18.88"
"República Dominicana","335.63","340.39","330.84","9.55"
"Romênia","425.76","426.05","425.49","0.56"
"Rússia","477.72","478.01","477.42","0.59"
"Sérvia","439.87","442.42","437.42","5"
"Suécia","499.44","503.25","495.65","7.6"
"Suíça","495.28","495.45","495.12","0.33"
"Tailândia","425.81","435.15","415.2","19.95"
"Taipe Chinesa (Taiwan)","515.75","515.17","516.32","-1.15"
"Turquia","468.3","472.04","464.63","7.41"
"Ucrânia","468.99","468.07","469.81","-1.74"
"Uruguai","425.81","424.21","427.56","-3.35"